item_id,target,relative_path,expected_filename,sha256,size_bytes,revision,status,allowed_use,blocking_gate_or_note
REF001,mechanical,../02_PRODUCTION_CAD/production_full_assembly.step,production_full_assembly.step,8417a27ac5d1099be67d8a04df8bbea166569e9e1337af557b14eda0274a7250,1088521,v1.0-digital-candidate,REFERENCE_ONLY,"DFM reference only","Digitally checked 16-solid assembly; physical qualification remains open"
REF002,mechanical,../02_PRODUCTION_CAD/production_pcb_placement_only.step,production_pcb_placement_only.step,9f0a0dccffdb4349212f693164be0a9e89e6099e7b51e0eeff3a3762399c3e2a,43668,v1.0-placement,REFERENCE_ONLY,"DFM reference only","Placement volumes only; supplier must not derive copper"
REF003,all,../02_PRODUCTION_CAD/PRODUCTION_FIT_REPORT.md,PRODUCTION_FIT_REPORT.md,a6889d620b0c4a9658d6eba567eff4f83da3004aa7363b1df5df67090220ff3a,3548,v1.0-digital-candidate,REFERENCE_ONLY,"Requirements review","Digital pass is not physical qualification"
REF004,all,../02_PRODUCTION_CAD/production_fit_report.json,production_fit_report.json,43865735e30ab4aa7808100a9345d22c0654fdd565e57c0ebdfdff8b4c81eedf,4891,v1.0-digital-candidate,REFERENCE_ONLY,"Automated evidence review","Twenty-three digital checks; runtime and physical gates remain open"
PCBREF001,engineering_only,../03_PRODUCTION_PCB/anticipy_evt_a_kicad_checkpoint.zip,anticipy_evt_a_kicad_checkpoint.zip,01f34b8d54764791c84e32f947f92cf09d5f72d4d911bccb795826f93b39e7f4,244168,EVT-A-engineering-checkpoint,REFERENCE_ONLY,"Native design review only","NOT FABRICATION RELEASE; unrouted and superseded candidates remain"
PCBREF002,engineering_only,../03_PRODUCTION_PCB/README.md,pcb_checkpoint_README.md,a84837161d4d2699f0ee74da29ac84019d0873f69181c0f2adcad91354423a14,5324,EVT-A-engineering-checkpoint,REFERENCE_ONLY,"Checkpoint status review","Read v1.0 stop sign and correction order"
PCBREF003,engineering_only,../03_PRODUCTION_PCB/reports/STRUCTURAL_VERIFY.txt,PCB_STRUCTURAL_VERIFY.txt,df64a97487e551a6686e1d6abe11e2dd3d5201fbe7d144838b776927395c0357,1813,EVT-A-engineering-checkpoint,REFERENCE_ONLY,"Structural evidence only","25 PASS/0 FAIL is not routing/ERC/DRC/DFM"
PCBREF004,engineering_only,../03_PRODUCTION_PCB/reports/ERC_NOT_RUN.txt,PCB_ERC_NOT_RUN.txt,88c5817f9aaacc239758273ffacd8c38c6284d9dd40b6da6fe9eaf8e772d8c7f,184,EVT-A-engineering-checkpoint,REFERENCE_ONLY,"Hold evidence","ERC not run"
PCBREF005,engineering_only,../03_PRODUCTION_PCB/reports/DRC_NOT_RUN.txt,PCB_DRC_NOT_RUN.txt,47797227cff8fc653a8b6de681486df454b453b52724718fca0fe637516a35e6,187,EVT-A-engineering-checkpoint,REFERENCE_ONLY,"Hold evidence","DRC not run"
PCB001,PCBA,TBD/ANT-PCB-EVT-A-R01_GerberX2.zip,ANT-PCB-EVT-A-R01_GerberX2.zip,TBD,TBD,R01,MISSING_BLOCKING,"None","Released Gerber X2 archive absent"
