item_id,category,description,manufacturer,manufacturer_part_number,qty_per_unit,evt_10_required,dvt_35_required,pvt_230_required,purchase_release_state,notes
MECH1,mechanical,hybrid enclosure set,Anticipy internal,ANT-MECH-v0.6-CANDIDATE,1,10,35,230,BLOCKED_DFM,"v0.6 retained mechanical candidate; 50.5x20.68x10.8 mm finished nominal including button membrane; material/finish/tolerance/seal drawings and physical qualification not released"
PCB1,pcb,custom shaped four-layer PCB,TBD,ANT-PCB-EVT-A,1,10,35,230,BLOCKED_NO_GERBERS,"Good assembled boards requested; assembler must separately state material attrition and panel quantity"
U1,radio module,nRF54L15 module with integrated chip antenna,Raytac,AN54LV-15,1,10,35,230,CANDIDATE_NOT_RELEASED,"Official land/pin map keepout host-integration review and allocated production lot required"
U2_U3,microphone,digital bottom-port PDM microphone,Infineon Technologies,IM69D128SV01XTMA1,2,20,70,460,CANDIDATE_NOT_RELEASED,"Two per finished unit"
U4,storage,4-Gbit managed SD NAND,MK Founder,MKDV4GCL-ABF,1,10,35,230,CANDIDATE_NOT_RELEASED,"481 MB usable; controlled LGA land feature 9 and SD/SPI power-loss firmware must be released"
U5,power,nPM1300 WLCSP PMIC,Nordic Semiconductor,NPM1300-CAAA-R,1,10,35,230,CANDIDATE_NOT_RELEASED,"Exact reference circuit/footprint/NTC network remain gated"
L1_L2,power,2.2 uH inductors,Murata Electronics,LQM21PN2R2MC0D,2,20,70,460,DRAFT_REFERENCE_VALIDATION,"Confirm exact reference topology and load/thermal calculations"
PWR_PASSIVES1,passive set,power passives,TBD,ANT-PWR-PASSIVES-CANDIDATE,1,10,35,230,BLOCKED_TBD_ENGINEERING,"Grouped placeholder is not orderable"
U6,haptic,haptic driver,Texas Instruments,DRV2605LYZFR,1,10,35,230,CANDIDATE_NOT_RELEASED,"DSBGA assembly/X-ray and exact support passives required"
M1,haptic,7x2 mm wired ERM motor,Vybronics,VC0720B015F,1,10,35,230,CANDIDATE_NOT_RELEASED,"Written stock allocation wire strain relief adhesive current life and lot approval required"
SW1,control,side-push tactile switch,Littelfuse C&K,PTS841GMSMTRLFS,1,10,35,230,CANDIDATE_NOT_RELEASED,"Controlled four-pad land and assembled plunger/membrane travel not released"
D1,protection,single-channel ESD diode,Texas Instruments,TPD1E10B06DPYR,1,10,35,230,CANDIDATE_NOT_RELEASED,"Final protected nets and quantity require ESD review"
LOGIC_PASSIVES1,passive set,logic/decoupling passives,TBD,ANT-LOGIC-PASSIVES-CANDIDATE,1,10,35,230,BLOCKED_TBD_ENGINEERING,"Grouped placeholder is not orderable"
BAT1,battery,protected 200 mAh 1S LiPo with 10 kOhm NTC max 27x12.5x6 mm,Approved supplier TBD,BAT-ANT-200-001,1,10,35,230,BLOCKED_NO_APPROVED_PACK,"Requires signed drawing polarity limits UN38.3 IEC62133-2 SDS and sample approval"
ACOUSTIC1,acoustic,two membrane/gasket/duct sets,TBD,ANT-ACOUSTIC-CANDIDATE,2,20,70,460,BLOCKED_TBD_ENGINEERING,"Supplier/material/compression/acoustic data not released"
FINISHED_UNIT,finished good,serialized finished pendant,Anticipy,ANT-PENDANT-CANDIDATE,1,10,35,230,PHASE_GATED,"PVT 230 is exactly 15% above the 200-customer target; failed/destructive/retained units are never shipped"
